s_id	sentence	target_tags	opinion_words_tags
1004293:0	Judging from previous posts this used to be a good place , but not any longer .	Judging\O from\O previous\O posts\O this\O used\O to\O be\O a\O good\O place\B ,\O but\O not\O any\O longer\O .\O	Judging\O from\O previous\O posts\O this\O used\O to\O be\O a\O good\B place\O ,\O but\O not\O any\O longer\O .\O
1004293:1	We , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude .	We\O ,\O there\O were\O four\O of\O us\O ,\O arrived\O at\O noon\O -\O the\O place\O was\O empty\O -\O and\O the\O staff\B acted\O like\O we\O were\O imposing\O on\O them\O and\O they\O were\O very\O rude\O .\O	We\O ,\O there\O were\O four\O of\O us\O ,\O arrived\O at\O noon\O -\O the\O place\O was\O empty\O -\O and\O the\O staff\O acted\O like\O we\O were\O imposing\O on\O them\O and\O they\O were\O very\O rude\B .\O
1004293:3	The food was lousy - too sweet or too salty and the portions tiny .	The\O food\B was\O lousy\O -\O too\O sweet\O or\O too\O salty\O and\O the\O portions\O tiny\O .\O	The\O food\O was\O lousy\B -\O too\B sweet\I or\O too\B salty\I and\O the\O portions\O tiny\O .\O
1004293:3	The food was lousy - too sweet or too salty and the portions tiny .	The\O food\O was\O lousy\O -\O too\O sweet\O or\O too\O salty\O and\O the\O portions\B tiny\O .\O	The\O food\O was\O lousy\O -\O too\O sweet\O or\O too\O salty\O and\O the\O portions\O tiny\B .\O
1004293:5	Avoid this place !	Avoid\O this\O place\B !\O	Avoid\B this\O place\O !\O
1014458:0	I have eaten at Saul , many times , the food is always consistently , outrageously good .	I\O have\O eaten\O at\O Saul\O ,\O many\O times\O ,\O the\O food\B is\O always\O consistently\O ,\O outrageously\O good\O .\O	I\O have\O eaten\O at\O Saul\O ,\O many\O times\O ,\O the\O food\O is\O always\O consistently\O ,\O outrageously\O good\B .\O
1014458:1	Saul is the best restaurant on Smith Street and in Brooklyn .	Saul\B is\O the\O best\O restaurant\O on\O Smith\O Street\O and\O in\O Brooklyn\O .\O	Saul\O is\O the\O best\B restaurant\O on\O Smith\O Street\O and\O in\O Brooklyn\O .\O
1014458:2	The duck confit is always amazing and the foie gras terrine with figs was out of this world .	The\O duck\O confit\O is\O always\O amazing\O and\O the\O foie\B gras\I terrine\I with\I figs\I was\O out\O of\O this\O world\O .\O	The\O duck\O confit\O is\O always\O amazing\O and\O the\O foie\O gras\O terrine\O with\O figs\O was\O out\B of\I this\I world\I .\O
1014458:2	The duck confit is always amazing and the foie gras terrine with figs was out of this world .	The\O duck\B confit\I is\O always\O amazing\O and\O the\O foie\O gras\O terrine\O with\O figs\O was\O out\O of\O this\O world\O .\O	The\O duck\O confit\O is\O always\O amazing\B and\O the\O foie\O gras\O terrine\O with\O figs\O was\O out\O of\O this\O world\O .\O
1014458:3	The wine list is interesting and has many good values .	The\O wine\B list\I is\O interesting\O and\O has\O many\O good\O values\O .\O	The\O wine\O list\O is\O interesting\B and\O has\O many\O good\B values\I .\O
1016296:0	I was very disappointed with this restaurant .	I\O was\O very\O disappointed\O with\O this\O restaurant\B .\O	I\O was\O very\O disappointed\B with\O this\O restaurant\O .\O
1016296:3	Food was okay , nothing great .	Food\B was\O okay\O ,\O nothing\O great\O .\O	Food\O was\O okay\B ,\O nothing\B great\I .\O
