s_id	sentence	target_tags	opinion_words_tags
2339	I charge it at night and skip taking the cord with me because of the good battery life .	I\O charge\O it\O at\O night\O and\O skip\O taking\O the\O cord\O with\O me\O because\O of\O the\O good\O battery\B life\I .\O	I\O charge\O it\O at\O night\O and\O skip\O taking\O the\O cord\O with\O me\O because\O of\O the\O good\B battery\O life\O .\O
2005	it is of high quality , has a killer GUI , is extremely stable , is highly expandable , is bundled with lots of very good applications , is easy to use , and is absolutely gorgeous .	it\O is\O of\O high\O quality\B ,\O has\O a\O killer\O GUI\O ,\O is\O extremely\O stable\O ,\O is\O highly\O expandable\O ,\O is\O bundled\O with\O lots\O of\O very\O good\O applications\O ,\O is\O easy\O to\O use\O ,\O and\O is\O absolutely\O gorgeous\O .\O	it\O is\O of\O high\B quality\O ,\O has\O a\O killer\O GUI\O ,\O is\O extremely\O stable\O ,\O is\O highly\O expandable\O ,\O is\O bundled\O with\O lots\O of\O very\O good\O applications\O ,\O is\O easy\O to\O use\O ,\O and\O is\O absolutely\O gorgeous\O .\O
2005	it is of high quality , has a killer GUI , is extremely stable , is highly expandable , is bundled with lots of very good applications , is easy to use , and is absolutely gorgeous .	it\O is\O of\O high\O quality\O ,\O has\O a\O killer\O GUI\B ,\O is\O extremely\O stable\O ,\O is\O highly\O expandable\O ,\O is\O bundled\O with\O lots\O of\O very\O good\O applications\O ,\O is\O easy\O to\O use\O ,\O and\O is\O absolutely\O gorgeous\O .\O	it\O is\O of\O high\O quality\O ,\O has\O a\O killer\B GUI\O ,\O is\O extremely\O stable\O ,\O is\O highly\O expandable\O ,\O is\O bundled\O with\O lots\O of\O very\O good\O applications\O ,\O is\O easy\O to\O use\O ,\O and\O is\O absolutely\O gorgeous\O .\O
2005	it is of high quality , has a killer GUI , is extremely stable , is highly expandable , is bundled with lots of very good applications , is easy to use , and is absolutely gorgeous .	it\O is\O of\O high\O quality\O ,\O has\O a\O killer\O GUI\O ,\O is\O extremely\O stable\O ,\O is\O highly\O expandable\O ,\O is\O bundled\O with\O lots\O of\O very\O good\O applications\B ,\O is\O easy\O to\O use\O ,\O and\O is\O absolutely\O gorgeous\O .\O	it\O is\O of\O high\O quality\O ,\O has\O a\O killer\O GUI\O ,\O is\O extremely\O stable\O ,\O is\O highly\O expandable\O ,\O is\O bundled\O with\O lots\O of\O very\O good\B applications\O ,\O is\O easy\O to\O use\O ,\O and\O is\O absolutely\O gorgeous\O .\O
2005	it is of high quality , has a killer GUI , is extremely stable , is highly expandable , is bundled with lots of very good applications , is easy to use , and is absolutely gorgeous .	it\O is\O of\O high\O quality\O ,\O has\O a\O killer\O GUI\O ,\O is\O extremely\O stable\O ,\O is\O highly\O expandable\O ,\O is\O bundled\O with\O lots\O of\O very\O good\O applications\O ,\O is\O easy\O to\O use\B ,\O and\O is\O absolutely\O gorgeous\O .\O	it\O is\O of\O high\O quality\O ,\O has\O a\O killer\O GUI\O ,\O is\O extremely\O stable\O ,\O is\O highly\O expandable\O ,\O is\O bundled\O with\O lots\O of\O very\O good\O applications\O ,\O is\O easy\B to\O use\O ,\O and\O is\O absolutely\O gorgeous\O .\O
2789	Easy to start up and does not overheat as much as other laptops .	Easy\O to\O start\B up\I and\O does\O not\O overheat\O as\O much\O as\O other\O laptops\O .\O	Easy\B to\O start\O up\O and\O does\O not\O overheat\O as\O much\O as\O other\O laptops\O .\O
80	Great laptop that offers many great features !	Great\O laptop\O that\O offers\O many\O great\O features\B !\O	Great\O laptop\O that\O offers\O many\O great\B features\O !\O
917	One night I turned the freaking thing off after using it , the next day I turn it on , no GUI , screen all dark , power light steady , hard drive light steady and not flashing as it usually does .	One\O night\O I\O turned\O the\O freaking\O thing\O off\O after\O using\O it\O ,\O the\O next\O day\O I\O turn\O it\O on\O ,\O no\O GUI\B ,\O screen\O all\O dark\O ,\O power\O light\O steady\O ,\O hard\O drive\O light\O steady\O and\O not\O flashing\O as\O it\O usually\O does\O .\O	One\O night\O I\O turned\O the\O freaking\O thing\O off\O after\O using\O it\O ,\O the\O next\O day\O I\O turn\O it\O on\O ,\O no\B GUI\O ,\O screen\O all\O dark\O ,\O power\O light\O steady\O ,\O hard\O drive\O light\O steady\O and\O not\O flashing\O as\O it\O usually\O does\O .\O
917	One night I turned the freaking thing off after using it , the next day I turn it on , no GUI , screen all dark , power light steady , hard drive light steady and not flashing as it usually does .	One\O night\O I\O turned\O the\O freaking\O thing\O off\O after\O using\O it\O ,\O the\O next\O day\O I\O turn\O it\O on\O ,\O no\O GUI\O ,\O screen\B all\O dark\O ,\O power\O light\O steady\O ,\O hard\O drive\O light\O steady\O and\O not\O flashing\O as\O it\O usually\O does\O .\O	One\O night\O I\O turned\O the\O freaking\O thing\O off\O after\O using\O it\O ,\O the\O next\O day\O I\O turn\O it\O on\O ,\O no\O GUI\O ,\O screen\O all\O dark\B ,\O power\O light\O steady\O ,\O hard\O drive\O light\O steady\O and\O not\O flashing\O as\O it\O usually\O does\O .\O
917	One night I turned the freaking thing off after using it , the next day I turn it on , no GUI , screen all dark , power light steady , hard drive light steady and not flashing as it usually does .	One\O night\O I\O turned\O the\O freaking\O thing\O off\O after\O using\O it\O ,\O the\O next\O day\O I\O turn\O it\O on\O ,\O no\O GUI\O ,\O screen\O all\O dark\O ,\O power\B light\I steady\O ,\O hard\O drive\O light\O steady\O and\O not\O flashing\O as\O it\O usually\O does\O .\O	One\O night\O I\O turned\O the\O freaking\O thing\O off\O after\O using\O it\O ,\O the\O next\O day\O I\O turn\O it\O on\O ,\O no\O GUI\O ,\O screen\O all\O dark\O ,\O power\O light\O steady\B ,\O hard\O drive\O light\O steady\O and\O not\O flashing\O as\O it\O usually\O does\O .\O
