s_id	sentence	target_tags	opinion_words_tags
3121	But the staff was so horrible to us .	But\O the\O staff\B was\O so\O horrible\O to\O us\O .\O	But\O the\O staff\O was\O so\O horrible\B to\O us\O .\O
2777	To be completely fair , the only redeeming factor was the food , which was above average , but could n't make up for all the other deficiencies of Teodora .	To\O be\O completely\O fair\O ,\O the\O only\O redeeming\O factor\O was\O the\O food\B ,\O which\O was\O above\O average\O ,\O but\O could\O n't\O make\O up\O for\O all\O the\O other\O deficiencies\O of\O Teodora\O .\O	To\O be\O completely\O fair\O ,\O the\O only\O redeeming\O factor\O was\O the\O food\O ,\O which\O was\O above\B average\I ,\O but\O could\O n't\O make\O up\O for\O all\O the\O other\O deficiencies\O of\O Teodora\O .\O
1634	The food is uniformly exceptional , with a very capable kitchen which will proudly whip up whatever you feel like eating , whether it 's on the menu or not .	The\O food\B is\O uniformly\O exceptional\O ,\O with\O a\O very\O capable\O kitchen\O which\O will\O proudly\O whip\O up\O whatever\O you\O feel\O like\O eating\O ,\O whether\O it\O 's\O on\O the\O menu\O or\O not\O .\O	The\O food\O is\O uniformly\O exceptional\B ,\O with\O a\O very\O capable\O kitchen\O which\O will\O proudly\O whip\O up\O whatever\O you\O feel\O like\O eating\O ,\O whether\O it\O 's\O on\O the\O menu\O or\O not\O .\O
1634	The food is uniformly exceptional , with a very capable kitchen which will proudly whip up whatever you feel like eating , whether it 's on the menu or not .	The\O food\O is\O uniformly\O exceptional\O ,\O with\O a\O very\O capable\O kitchen\B which\O will\O proudly\O whip\O up\O whatever\O you\O feel\O like\O eating\O ,\O whether\O it\O 's\O on\O the\O menu\O or\O not\O .\O	The\O food\O is\O uniformly\O exceptional\O ,\O with\O a\O very\O capable\B kitchen\O which\O will\O proudly\O whip\O up\O whatever\O you\O feel\O like\O eating\O ,\O whether\O it\O 's\O on\O the\O menu\O or\O not\O .\O
2846	Not only was the food outstanding , but the little ' perks ' were great .	Not\O only\O was\O the\O food\B outstanding\O ,\O but\O the\O little\O '\O perks\O '\O were\O great\O .\O	Not\O only\O was\O the\O food\O outstanding\B ,\O but\O the\O little\O '\O perks\O '\O were\O great\O .\O
2846	Not only was the food outstanding , but the little ' perks ' were great .	Not\O only\O was\O the\O food\O outstanding\O ,\O but\O the\O little\O '\O perks\B '\O were\O great\O .\O	Not\O only\O was\O the\O food\O outstanding\O ,\O but\O the\O little\O '\O perks\O '\O were\O great\B .\O
1458	Our agreed favorite is the orrechiete with sausage and chicken ( usually the waiters are kind enough to split the dish in half so you get to sample both meats ) .	Our\O agreed\O favorite\O is\O the\O orrechiete\B with\I sausage\I and\I chicken\I (\O usually\O the\O waiters\O are\O kind\O enough\O to\O split\O the\O dish\O in\O half\O so\O you\O get\O to\O sample\O both\O meats\O )\O .\O	Our\O agreed\O favorite\B is\O the\O orrechiete\O with\O sausage\O and\O chicken\O (\O usually\O the\O waiters\O are\O kind\O enough\O to\O split\O the\O dish\O in\O half\O so\O you\O get\O to\O sample\O both\O meats\O )\O .\O
1458	Our agreed favorite is the orrechiete with sausage and chicken ( usually the waiters are kind enough to split the dish in half so you get to sample both meats ) .	Our\O agreed\O favorite\O is\O the\O orrechiete\O with\O sausage\O and\O chicken\O (\O usually\O the\O waiters\B are\O kind\O enough\O to\O split\O the\O dish\O in\O half\O so\O you\O get\O to\O sample\O both\O meats\O )\O .\O	Our\O agreed\O favorite\O is\O the\O orrechiete\O with\O sausage\O and\O chicken\O (\O usually\O the\O waiters\O are\O kind\B enough\O to\O split\O the\O dish\O in\O half\O so\O you\O get\O to\O sample\O both\O meats\O )\O .\O
3161	The Bagels have an outstanding taste with a terrific texture , both chewy yet not gummy .	The\O Bagels\B have\O an\O outstanding\O taste\O with\O a\O terrific\O texture\O ,\O both\O chewy\O yet\O not\O gummy\O .\O	The\O Bagels\O have\O an\O outstanding\B taste\O with\O a\O terrific\B texture\O ,\O both\O chewy\B yet\O not\O gummy\B .\O
2391	Nevertheless the food itself is pretty good .	Nevertheless\O the\O food\B itself\O is\O pretty\O good\O .\O	Nevertheless\O the\O food\O itself\O is\O pretty\O good\B .\O
296	They did not have mayonnaise , forgot our toast , left out ingredients ( ie cheese in an omelet ) , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .	They\O did\O not\O have\O mayonnaise\O ,\O forgot\O our\O toast\B ,\O left\O out\O ingredients\O (\O ie\O cheese\O in\O an\O omelet\O )\O ,\O below\O hot\O temperatures\O and\O the\O bacon\O was\O so\O over\O cooked\O it\O crumbled\O on\O the\O plate\O when\O you\O touched\O it\O .\O	They\O did\O not\O have\O mayonnaise\O ,\O forgot\B our\O toast\O ,\O left\O out\O ingredients\O (\O ie\O cheese\O in\O an\O omelet\O )\O ,\O below\O hot\O temperatures\O and\O the\O bacon\O was\O so\O over\O cooked\O it\O crumbled\O on\O the\O plate\O when\O you\O touched\O it\O .\O
296	They did not have mayonnaise , forgot our toast , left out ingredients ( ie cheese in an omelet ) , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .	They\O did\O not\O have\O mayonnaise\O ,\O forgot\O our\O toast\O ,\O left\O out\O ingredients\O (\O ie\O cheese\O in\O an\O omelet\O )\O ,\O below\O hot\O temperatures\O and\O the\O bacon\B was\O so\O over\O cooked\O it\O crumbled\O on\O the\O plate\O when\O you\O touched\O it\O .\O	They\O did\O not\O have\O mayonnaise\O ,\O forgot\O our\O toast\O ,\O left\O out\O ingredients\O (\O ie\O cheese\O in\O an\O omelet\O )\O ,\O below\O hot\O temperatures\O and\O the\O bacon\O was\O so\O over\B cooked\I it\O crumbled\O on\O the\O plate\O when\O you\O touched\O it\O .\O
296	They did not have mayonnaise , forgot our toast , left out ingredients ( ie cheese in an omelet ) , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .	They\O did\O not\O have\O mayonnaise\O ,\O forgot\O our\O toast\O ,\O left\O out\O ingredients\O (\O ie\O cheese\B in\O an\O omelet\O )\O ,\O below\O hot\O temperatures\O and\O the\O bacon\O was\O so\O over\O cooked\O it\O crumbled\O on\O the\O plate\O when\O you\O touched\O it\O .\O	They\O did\O not\O have\O mayonnaise\O ,\O forgot\O our\O toast\O ,\O left\B out\I ingredients\O (\O ie\O cheese\O in\O an\O omelet\O )\O ,\O below\O hot\O temperatures\O and\O the\O bacon\O was\O so\O over\O cooked\O it\O crumbled\O on\O the\O plate\O when\O you\O touched\O it\O .\O
